Population,Poverty,Child Poverty,state,county,year
20228.0,1341.0,750.0,27,039,2016
21125.0,1399.0,809.0,27,157,2016
9072.0,1155.0,674.0,27,117,2016
62503.0,6531.0,3561.0,27,035,2016
6491.0,761.0,433.0,27,107,2016
128708.0,7150.0,4001.0,27,171,2016
30865.0,3655.0,1796.0,27,103,2016
36269.0,3141.0,1584.0,27,041,2016
5877.0,676.0,422.0,27,051,2016
27367.0,2339.0,1231.0,27,079,2016
52467.0,3137.0,1720.0,27,025,2016
15245.0,1767.0,904.0,27,127,2016
24053.0,3253.0,1744.0,27,153,2016
43159.0,8247.0,4248.0,27,007,2016
18517.0,1910.0,1024.0,27,055,2016
6783.0,574.0,344.0,27,073,2016
56734.0,5497.0,3004.0,27,111,2016
17757.0,1387.0,721.0,27,161,2016
337908.0,24864.0,13538.0,27,003,2016
146377.0,19983.0,10486.0,27,145,2016
5620.0,652.0,384.0,27,081,2016
24497.0,3396.0,1978.0,27,083,2016
25218.0,2970.0,1747.0,27,095,2016
244976.0,12496.0,7260.0,27,163,2016
34478.0,4507.0,2118.0,27,017,2016
15741.0,2130.0,1135.0,27,065,2016
12641.0,2139.0,1141.0,27,071,2016
32418.0,3801.0,2174.0,27,097,2016
35963.0,3396.0,2130.0,27,147,2016
15467.0,1978.0,1012.0,27,001,2016
8303.0,761.0,446.0,27,101,2016
41813.0,4732.0,2694.0,27,067,2016
9337.0,998.0,582.0,27,133,2016
3305.0,305.0,187.0,27,155,2016
1186944.0,141453.0,75195.0,27,053,2016
11875.0,1285.0,796.0,27,023,2016
8591.0,1435.0,754.0,27,029,2016
37939.0,2732.0,1353.0,27,059,2016
38712.0,5403.0,2859.0,27,099,2016
147717.0,13635.0,7699.0,27,109,2016
4302.0,481.0,303.0,27,069,2016
5396.0,1209.0,629.0,27,087,2016
9838.0,1115.0,589.0,27,173,2016
62015.0,11323.0,5885.0,27,013,2016
3842.0,312.0,188.0,27,077,2016
192381.0,29875.0,15866.0,27,137,2016
408652.0,29265.0,16125.0,27,037,2016
9318.0,698.0,396.0,27,089,2016
14628.0,1533.0,917.0,27,129,2016
5171.0,617.0,348.0,27,031,2016
89781.0,5746.0,3253.0,27,141,2017
13224.0,1977.0,1027.0,27,159,2017
38663.0,5445.0,3239.0,27,009,2017
97846.0,3934.0,2206.0,27,019,2017
30052.0,3536.0,2062.0,27,047,2017
44131.0,5553.0,2994.0,27,061,2017
35373.0,2964.0,1730.0,27,085,2017
10720.0,847.0,519.0,27,121,2017
523995.0,78410.0,42537.0,27,123,2017
9432.0,1454.0,823.0,27,149,2017
9308.0,1131.0,749.0,27,151,2017
47116.0,6849.0,3517.0,27,169,2017
11157.0,1744.0,912.0,27,033,2017
139814.0,7872.0,4649.0,27,139,2017
20343.0,1160.0,654.0,27,039,2017
21290.0,1293.0,732.0,27,157,2017
9042.0,1069.0,638.0,27,117,2017
62638.0,6043.0,3406.0,27,035,2017
6425.0,770.0,441.0,27,107,2017
129918.0,6551.0,3665.0,27,171,2017
31085.0,3514.0,1777.0,27,103,2017
36326.0,3063.0,1533.0,27,041,2017
5852.0,623.0,389.0,27,051,2017
4242.0,473.0,318.0,27,069,2017
27540.0,2433.0,1274.0,27,079,2017
5382.0,1220.0,631.0,27,087,2017
52740.0,2871.0,1572.0,27,025,2017
15083.0,1778.0,851.0,27,127,2017
9730.0,1215.0,654.0,27,173,2017
24126.0,3126.0,1636.0,27,153,2017
43260.0,8203.0,4227.0,27,007,2017
62381.0,11321.0,5992.0,27,013,2017
18427.0,1631.0,910.0,27,055,2017
6719.0,628.0,379.0,27,073,2017
3784.0,280.0,174.0,27,077,2017
56776.0,5350.0,2882.0,27,111,2017
17620.0,1614.0,866.0,27,161,2017
192322.0,29574.0,15520.0,27,137,2017
341535.0,22428.0,12462.0,27,003,2017
148016.0,19321.0,10072.0,27,145,2017
411985.0,28284.0,15608.0,27,037,2017
5546.0,630.0,365.0,27,081,2017
24582.0,3374.0,1951.0,27,083,2017
9325.0,724.0,405.0,27,089,2017
25044.0,2869.0,1700.0,27,095,2017
14434.0,1589.0,927.0,27,129,2017
247183.0,12251.0,7134.0,27,163,2017
34214.0,4123.0,1800.0,27,017,2017
5230.0,679.0,399.0,27,031,2017
15731.0,1820.0,983.0,27,065,2017
12465.0,2136.0,1112.0,27,071,2017
22666.0,1885.0,1099.0,27,093,2017
32438.0,3711.0,2200.0,27,097,2017
13933.0,1440.0,894.0,27,113,2017
57203.0,6550.0,3912.0,27,131,2017
36035.0,3583.0,2126.0,27,147,2017
6208.0,614.0,411.0,27,167,2017
3990.0,377.0,208.0,27,125,2017
15602.0,1895.0,1005.0,27,001,2017
58044.0,7236.0,3974.0,27,027,2017
13569.0,1556.0,871.0,27,043,2017
8245.0,678.0,401.0,27,101,2017
20417.0,2309.0,1273.0,27,045,2017
41810.0,4732.0,2575.0,27,067,2017
10333.0,960.0,458.0,27,075,2017
30422.0,3763.0,2002.0,27,119,2017
9192.0,1011.0,584.0,27,133,2017
15267.0,1411.0,700.0,27,135,2017
14726.0,1259.0,689.0,27,143,2017
3268.0,355.0,201.0,27,155,2017
10796.0,1321.0,719.0,27,165,2017
33013.0,4191.0,2531.0,27,005,2017
1201969.0,138478.0,73824.0,27,053,2017
4909.0,574.0,351.0,27,011,2017
24043.0,1944.0,1097.0,27,015,2017
11798.0,1307.0,746.0,27,023,2017
28312.0,4339.0,2402.0,27,021,2017
8639.0,1549.0,815.0,27,029,2017
45230.0,4870.0,2593.0,27,049,2017
20537.0,2216.0,1248.0,27,057,2017
38061.0,2710.0,1403.0,27,059,2017
9935.0,765.0,375.0,27,063,2017
19773.0,2234.0,1337.0,27,091,2017
38748.0,5050.0,2753.0,27,099,2017
21427.0,3379.0,1964.0,27,105,2017
27253.0,3720.0,1906.0,27,115,2017
149446.0,13530.0,7410.0,27,109,2017
22645.0,1721.0,962.0,27,093,2018
57628.0,6169.0,3637.0,27,131,2018
3974.0,389.0,192.0,27,125,2018
58990.0,6828.0,3710.0,27,027,2018
20446.0,2245.0,1237.0,27,045,2018
30473.0,3841.0,2169.0,27,119,2018
14765.0,1051.0,594.0,27,143,2018
10835.0,1376.0,793.0,27,165,2018
4879.0,557.0,333.0,27,011,2018
28543.0,4154.0,2254.0,27,021,2018
20635.0,2256.0,1280.0,27,057,2018
19648.0,2614.0,1458.0,27,091,2018
21411.0,3061.0,1763.0,27,105,2018
91074.0,6450.0,3569.0,27,141,2018
99482.0,3941.0,2262.0,27,019,2018
35438.0,3138.0,1835.0,27,085,2018
527749.0,77330.0,42287.0,27,123,2018
47133.0,6818.0,3560.0,27,169,2018
20425.0,1127.0,602.0,27,039,2018
62926.0,6622.0,3870.0,27,035,2018
131282.0,5850.0,3283.0,27,171,2018
36685.0,3041.0,1557.0,27,041,2018
5867.0,610.0,390.0,27,051,2018
4186.0,443.0,277.0,27,069,2018
27718.0,2431.0,1328.0,27,079,2018
5375.0,1122.0,604.0,27,087,2018
53177.0,2979.0,1645.0,27,025,2018
14969.0,1709.0,823.0,27,127,2018
9653.0,1297.0,702.0,27,173,2018
24108.0,3214.0,1695.0,27,153,2018
43642.0,8054.0,4314.0,27,007,2018
