,year,countyServed,max arsenic (ug/L)
665,2007,Rice,6.48
666,2007,Rock,8.61
667,2007,Roseau,8.9
668,2007,Scott,7.61
669,2007,Sherburne,3.13
670,2007,Sibley,5.3
671,2007,St. Louis,5.18
672,2007,Stearns,18
673,2007,Steele,1.24
674,2007,Stevens,2.83
675,2007,Swift,9
676,2007,Todd,4.85
677,2007,Traverse,34
678,2007,Wabasha,0.5
679,2007,Wadena,17
680,2007,Waseca,4.5
681,2007,Washington,8.11
682,2007,Watonwan,13
683,2007,Wilkin,2.3
684,2007,Winona,1.79
685,2007,Wright,7.41
686,2007,Yellow Medicine,26
687,2008,Aitkin,5.82
688,2008,Anoka,11
689,2008,Becker,22
690,2008,Beltrami,4.46
691,2008,Benton,2.61
692,2008,Big Stone,4.52
693,2008,Blue Earth,7.49
694,2008,Brown,4.83
695,2008,Carlton,3.19
696,2008,Carver,7.83
697,2008,Cass,6.3
698,2008,Chippewa,4.43
699,2008,Chisago,5.5
700,2008,Clay,5.83
701,2008,Clearwater,2.6
702,2008,Cook,3.69
703,2008,Cottonwood,0.5
704,2008,Crow Wing,8.17
705,2008,Dakota,2.58
706,2008,Dodge,2.93
707,2008,Douglas,5.11
708,2008,Faribault,7.3
709,2008,Fillmore,1.26
710,2008,Freeborn,9.28
711,2008,Goodhue,2.74
712,2008,Grant,36
713,2008,Hennepin,5.9
714,2008,Houston,0.5
715,2008,Hubbard,0.5
716,2008,Isanti,1.14
717,2008,Itasca,3.91
718,2008,Jackson,3.82
719,2008,Kanabec,5.08
720,2008,Kandiyohi,17
721,2008,Kittson,1.06
722,2008,Koochiching,11
723,2008,Lac Qui Parle,12.4
724,2008,Lake,0.5
725,2008,Lake of the Woods,2.92
726,2008,Le Sueur,5.47
727,2008,Lincoln,1.5
728,2008,Lyon,1.92
729,2008,Mahnomen,4.13
730,2008,Marshall,6.86
731,2008,Martin,7.86
732,2008,McLeod,10
733,2008,Meeker,6.6
734,2008,Mille Lacs,2.4
735,2008,Morrison,4.49
736,2008,Mower,13
737,2008,Murray,5.57
738,2008,Nicollet,2.51
739,2008,Nobles,2.26
740,2008,Norman,16
741,2008,Olmsted,2.27
742,2008,Otter Tail,53
743,2008,Pennington,2.51
744,2008,Pine,2.93
745,2008,Pipestone,5.1
746,2008,Polk,6.91
747,2008,Pope,10
748,2008,Ramsey,5.97
749,2008,Red Lake,3.9
750,2008,Redwood,4.7
751,2008,Renville,44
752,2008,Rice,6.48
753,2008,Rock,8.61
754,2008,Roseau,8.9
755,2008,Scott,4.35
756,2008,Sherburne,3.13
757,2008,Sibley,8.6
758,2008,St. Louis,5.18
759,2008,Stearns,27
760,2008,Steele,1.24
761,2008,Stevens,2.83
762,2008,Swift,8.1
763,2008,Todd,4.85
764,2008,Traverse,42
765,2008,Wabasha,0.5
766,2008,Wadena,1.62
767,2008,Waseca,3.79
768,2008,Washington,8.11
769,2008,Watonwan,8.2
770,2008,Wilkin,2.3
771,2008,Winona,0.5
772,2008,Wright,7.41
773,2008,Yellow Medicine,5
774,2009,Aitkin,5.82
775,2009,Anoka,17.5
776,2009,Becker,17
777,2009,Beltrami,8.09
778,2009,Benton,2.61
779,2009,Big Stone,4.52
780,2009,Blue Earth,7.49
781,2009,Brown,4.83
782,2009,Carlton,3.19
783,2009,Carver,7.83
784,2009,Cass,39
785,2009,Chippewa,4.43
786,2009,Chisago,5.5
787,2009,Clay,10.1
788,2009,Clearwater,4.28
789,2009,Cook,3.69
790,2009,Cottonwood,4.57
791,2009,Crow Wing,8.17
792,2009,Dakota,2.58
793,2009,Dodge,2.93
794,2009,Douglas,5.11
795,2009,Faribault,8.38
796,2009,Fillmore,1.26
797,2009,Freeborn,9.28
798,2009,Goodhue,2.74
799,2009,Grant,41
800,2009,Hennepin,8.93
801,2009,Houston,0.5
802,2009,Hubbard,0.5
803,2009,Isanti,1.14
804,2009,Itasca,5.29
805,2009,Jackson,3.82
806,2009,Kanabec,5.08
807,2009,Kandiyohi,16
808,2009,Kittson,1.06
809,2009,Koochiching,15
810,2009,Lac Qui Parle,16
811,2009,Lake,0.5
812,2009,Lake of the Woods,2.92
813,2009,Le Sueur,5.47
814,2009,Lincoln,1.5
815,2009,Lyon,1.92
816,2009,Mahnomen,4.59
817,2009,Marshall,6.86
818,2009,Martin,7.86
819,2009,McLeod,42.4
820,2009,Meeker,17
821,2009,Mille Lacs,2.65
822,2009,Morrison,4.49
823,2009,Mower,3.06
824,2009,Murray,5.57
825,2009,Nicollet,2.51
826,2009,Nobles,2.26
827,2009,Norman,16
828,2009,Olmsted,2.27
829,2009,Otter Tail,48
830,2009,Pennington,2.51
831,2009,Pine,2.93
832,2009,Pipestone,5.1
833,2009,Polk,23
834,2009,Pope,12
835,2009,Ramsey,6.3
836,2009,Red Lake,3.9
837,2009,Redwood,3.04
838,2009,Renville,46
839,2009,Rice,6.48
840,2009,Rock,8.61
841,2009,Roseau,11
842,2009,Scott,4.62
843,2009,Sherburne,3.27
844,2009,Sibley,10
845,2009,St. Louis,6.97
846,2009,Stearns,22
847,2009,Steele,1.24
848,2009,Stevens,2.83
849,2009,Swift,5.27
850,2009,Todd,4.85
851,2009,Traverse,50
852,2009,Wabasha,1.22
853,2009,Wadena,1.62
854,2009,Waseca,3.79
855,2009,Washington,4.8
856,2009,Watonwan,8.2
857,2009,Wilkin,2.5
858,2009,Winona,1.02
859,2009,Wright,7.01
